species;individual;type;arena;start_hour;end_hour;reach_tie;avoidance;exit_way;fall_hour;exit_hour;reach_barrier;time_escape;time_fall
Tortoise;J9;no_trench;C1;14:18;14:33;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J8;no_trench;C1;14:35;14:50;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J5;no_trench;C1;14:50;15:05;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J7;no_trench;C1;15:08;15:23;-;-;unable;NA;NA;NA;NA;NA
Trachemys;C1;no_trench;C3;11:44;11:45;-;-;rail;NA;11:45;NA;00:01:00;NA
Trachemys;C2;no_trench;C3;11:47;11:47;-;-;rail;NA;11:47;NA;00:00:00;NA
Trachemys;C5;no_trench;C2;11:47;11:50;-;-;rail;NA;11:50;NA;00:03:00;NA
Trachemys;C4;no_trench;C2;11:56;11:59;-;-;rail;NA;11:59;NA;00:03:00;NA
Trachemys;C3;no_trench;C3;11:56;12:06;-;-;rail;NA;12:06;NA;00:10:00;NA
Trachemys;C5;no_trench;C2;12:04;12:19;-;-;unable;NA;NA;NA;NA;NA
Trachemys;C1;no_trench;C2;12:21;12:24;-;-;rail;NA;12:24;NA;00:03:00;NA
Tortoise;J7;no_trench;C3;14:29;14:44;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J9;no_trench;C2;14:48;15:03;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J1;no_trench;C3;14:50;15:05;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J8;no_trench;C3;15:07;15:22;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J7;no_trench;C2;13:50;14:05;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J9;no_trench;C3;13:50;14:05;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J5;no_trench;C3;14:07;14:22;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J8;no_trench;C2;14:10;14:25;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J1;no_trench;C2;14:28;14:43;-;-;unable;NA;NA;NA;NA;NA
Tortoise;J5;no_trench;C2;15:14;15:29;-;-;unable;NA;NA;NA;NA;NA
Tortoise_type1;1A;1;NA;11:12;11:20;yes;yes;barrier;NA;11:20;yes;00:08:00;NA
Tortoise_type1;3A;1;NA;11:29;11:42;yes;yes;barrier;NA;11:42;yes;00:13:00;NA
